,type_of_renewable_energy,installed_capacity_mw,energy_production_mwh,energy_consumption_mwh,energy_storage_capacity_mwh,storage_efficiency_percentage,grid_integration_level,initial_investment_usd,funding_sources,financial_incentives_usd,ghg_emission_reduction_tco2e,air_pollution_reduction_index,jobs_created
0,Geothermal,93.42320532,103853.2206,248708.4892,2953.248771,89.88756208,Isolated Microgrid,473224763.9,Government,9207772.186,6663.816572,81.7424612,1366
1,Geothermal,590.4689416,190223.0649,166104.1642,5305.174042,84.40334295,Isolated Microgrid,167069721.6,Private,1685101.134,30656.04982,78.13904175,1743
2,Solar,625.9511425,266023.4824,424114.6308,2620.192622,60.49824887,Partially Integrated,84636100.09,Private,5111812.899,1749.613759,8.461295633,363
3,Solar,779.9987283,487039.5296,308337.7316,1925.250307,86.89786068,Minimal Integration,396768982.2,Private,4805902.371,43233.23782,8.402441206,2821
4,Hydroelectric,242.1068369,482815.0856,360437.7705,3948.945383,70.94935132,Partially Integrated,35744128.28,Government,16686014.48,14858.66276,28.82286745,2583
5,Solar,596.1746308,292384.463,415449.6225,9767.234396,50.90190642,Minimal Integration,449150517.7,Private,11315378.7,16089.62608,9.038486886,309
6,Biomass,912.4606257,166865.9068,268570.0281,9177.042493,54.34546335,Fully Integrated,485953840.0,Government,8453916.11,9140.340246,20.11218696,3483
7,Solar,782.9344663,277874.892,228390.8408,8894.275957,72.32395537,Partially Integrated,237006441.2,Government,6831257.817,7054.752767,45.16850462,4155
8,Solar,842.2478217,456305.5836,364032.5316,1463.242396,73.44790678,Partially Integrated,107777969.1,Government,15522816.74,40329.04778,83.56356726,4617
9,Wind,778.6692955,401363.1727,216170.7123,1792.133939,90.59240224,Minimal Integration,472545866.3,Private,14086169.3,20564.87454,66.21395664,727
10,Solar,331.4526224,251035.426,263867.8013,9776.231445,75.27720503,Fully Integrated,440466517.0,Government,54235.26984,23050.9743,16.1741087,4327
11,Biomass,923.3716098,325001.5413,433532.1176,5764.408399,64.88731091,Fully Integrated,373905846.3,Private,10531180.73,22991.21367,35.48088444,1916
12,Geothermal,269.124322,176638.6369,412244.5355,2648.026535,50.58378728,Fully Integrated,117202214.9,Government,3690420.567,10445.96593,76.94968569,2935
13,Geothermal,713.3930864,213284.3216,387135.1887,5547.755621,91.09545611,Partially Integrated,170269004.5,Public-Private Partnership,18042969.11,35928.70926,59.1699292,2252
14,Hydroelectric,292.2830709,155465.2392,16932.69006,2457.244777,65.55724059,Partially Integrated,313970944.0,Public-Private Partnership,16328048.97,11944.16501,13.79546248,3440
15,Tidal,90.86643809,206272.868,79092.992,384.3262147,66.13059773,Minimal Integration,204997524.9,Government,1332253.107,45611.39552,74.88334649,1552
16,Geothermal,889.1545544,13066.88338,311190.4831,4.090269707,80.33276893,Partially Integrated,9053773.942,Private,465266.8627,38668.76896,16.84662851,4783
17,Wave,878.6852088,124626.882,427010.5295,5098.33819,71.1276647,Fully Integrated,156262222.9,Public-Private Partnership,10670647.4,30414.55311,70.18859809,1406
18,Biomass,468.1550005,10076.62608,134075.9411,9136.15018,53.13851541,Partially Integrated,271498650.5,Government,164183.9265,3294.346528,77.04082394,1116
19,Solar,973.7404781,138728.3201,406471.8827,9094.09479,69.68229888,Partially Integrated,380319250.0,Government,7173750.18,14257.55934,60.24057395,4210
20,Wave,234.583508,116290.1567,384757.699,1055.466696,53.86057257,Fully Integrated,191894116.7,Government,17079653.0,6812.438376,63.69531616,4251
21,Biomass,697.6758745,220226.1312,133636.8911,2337.044258,95.52086549,Partially Integrated,318918809.7,Government,13217332.87,32872.54745,31.07812473,3384
22,Tidal,369.7757616,360589.49,59044.50949,1589.1917,83.50803272,Partially Integrated,263973164.7,Public-Private Partnership,1912490.154,47863.73097,24.26251446,3750
23,Tidal,121.1255985,150710.477,277797.8654,3187.204882,67.33803418,Partially Integrated,263801897.1,Private,17540808.2,36810.38206,30.2352936,223
24,Wind,737.37571,213138.2846,323636.7711,8991.182369,66.54514581,Partially Integrated,228919557.6,Public-Private Partnership,19130980.73,32390.44691,77.13027242,756
25,Geothermal,725.2334523,445510.7437,316116.7354,2412.684083,99.22139576,Partially Integrated,148878256.7,Private,1991603.228,10811.14056,93.74352008,2955
26,Biomass,98.44339681,170966.6751,444229.371,2541.809176,59.76521449,Fully Integrated,454046260.7,Private,12151045.84,5924.75231,91.57976229,2218
27,Wave,511.911116,209511.069,233208.2986,2357.734114,72.50422759,Minimal Integration,72272673.73,Government,5947534.284,7196.52637,93.89590887,2406
28,Solar,613.1123247,200285.9449,441188.1696,772.9395548,82.96139206,Fully Integrated,452767527.5,Public-Private Partnership,15795168.48,35884.87653,2.623855637,3871
29,Hydroelectric,855.692318,329785.2988,268301.2009,6950.845394,98.55213201,Fully Integrated,104139436.7,Government,19651202.93,5649.383611,54.16497737,934
30,Tidal,638.7794973,312630.8134,236362.6792,7518.443574,58.10123397,Partially Integrated,124527969.9,Private,9641548.211,27227.1013,4.110015345,4793
31,Biomass,850.0664111,97793.68766,314622.5383,6858.453351,90.52459622,Fully Integrated,435807803.3,Government,14742797.66,25511.01408,96.26732229,3418
32,Geothermal,836.8475872,37263.95178,328987.2611,7096.89847,65.77696395,Partially Integrated,431446289.3,Government,19670967.03,23165.91779,56.44556286,1473
33,Solar,341.7827662,439317.4424,61360.61778,9514.826529,74.24506468,Fully Integrated,362664490.5,Private,9440230.785,10220.6075,94.86765646,3444
34,Geothermal,436.6223601,189791.1203,267136.6811,9830.393977,56.26946627,Minimal Integration,318226069.1,Public-Private Partnership,7067421.79,48642.12088,7.570521466,4710
35,Geothermal,20.58552064,273681.0435,189224.664,6601.900834,91.12121158,Partially Integrated,322933417.1,Private,4082588.572,7412.867223,44.83409787,1793
36,Hydroelectric,386.4604686,306434.598,323687.2224,4017.623182,68.61917411,Partially Integrated,467401045.7,Public-Private Partnership,8366588.341,3277.17418,30.5235899,2450
37,Wind,826.5273359,329289.8961,361126.0204,5463.1386,66.82436698,Partially Integrated,425088746.2,Public-Private Partnership,5372065.613,1187.056003,89.75663202,3886
38,Wave,187.5521786,71414.47044,373960.4382,2142.057395,64.88325005,Isolated Microgrid,465801558.6,Public-Private Partnership,3612095.954,5482.940386,29.7626473,4694
39,Wave,277.1209112,11945.63524,160011.472,9572.763288,62.0789339,Isolated Microgrid,102158027.5,Private,2936118.6,30730.54856,23.50429026,1652
40,Hydroelectric,485.7555282,105064.6077,248354.6852,6083.951633,58.123724,Fully Integrated,81650064.92,Public-Private Partnership,2102350.671,4350.524104,87.02732246,1151
41,Biomass,529.0615884,112324.2419,239191.9664,6499.490481,54.58106533,Partially Integrated,412263057.4,Government,7091328.937,23717.66856,57.54591164,4765
42,Biomass,52.53843502,207661.4924,260025.2395,7735.896754,61.56113489,Minimal Integration,108831107.4,Government,17429287.2,45213.90579,25.06816607,162
43,Wind,759.0779959,78570.62109,377572.8893,9601.598532,69.44517198,Isolated Microgrid,219152527.6,Public-Private Partnership,19956029.77,26311.99811,28.78617576,3965
44,Biomass,551.550595,220118.5484,265329.2572,7286.055258,93.10703619,Fully Integrated,26787058.41,Government,6133335.523,24894.67836,65.51383909,1057
45,Geothermal,575.2598746,92121.20152,91845.75705,7569.923862,74.60808121,Partially Integrated,178032740.0,Private,17526052.27,48324.87314,51.47209488,4222
46,Tidal,349.1203558,103507.7248,6686.591669,5103.533405,60.65558973,Partially Integrated,82874466.91,Private,14091928.54,21295.28158,99.85726776,806
47,Solar,245.0947817,273130.4128,363935.132,2755.676774,98.03848108,Partially Integrated,387023796.3,Private,1451854.086,32456.8292,55.71184112,3881
48,Wave,698.4807765,372472.3166,139407.5679,1938.154116,68.50416437,Minimal Integration,72079304.43,Government,2531168.958,27375.11959,61.3918823,2644
49,Geothermal,288.0510871,350492.8739,279704.0665,3483.497892,58.53135203,Fully Integrated,256608948.8,Government,14060694.59,7715.209842,95.58582629,1086
50,Wind,70.72719757,489002.78,385899.0456,7465.763641,67.94965664,Fully Integrated,30652154.56,Private,18819307.44,35960.29128,71.81377709,1584
51,Biomass,173.3734828,230714.5388,127797.6901,2763.192096,99.16665858,Partially Integrated,496711677.2,Government,352595.3404,13974.58581,61.41282443,872
52,Wave,720.849517,237411.1265,431470.9594,5494.196613,92.38233081,Partially Integrated,490340359.3,Private,7371391.408,2960.940682,43.10674039,1517
53,Geothermal,496.1021647,451693.8927,349150.049,4974.059757,57.70919341,Partially Integrated,245064083.9,Private,1329371.378,35815.63463,41.11082246,278
54,Hydroelectric,284.9766921,42993.60354,139412.0596,3309.073652,60.07295915,Isolated Microgrid,361290861.4,Private,13705513.69,19152.23653,1.656759019,1955
55,Wave,605.0147401,333320.1961,353401.643,5238.73937,96.58550688,Partially Integrated,409504866.2,Public-Private Partnership,8135214.018,12233.73219,12.48919115,1918
56,Wind,100.2683316,253130.9356,126049.0219,8838.238542,99.31827806,Fully Integrated,382641761.5,Government,3249707.66,31575.1133,39.71603717,728
57,Wave,742.7373581,455186.2902,147269.2502,9715.388991,93.16605117,Partially Integrated,429556596.8,Public-Private Partnership,238146.7048,20684.64182,71.07238757,472
58,Solar,437.8750288,4152.556309,95086.80736,5337.336591,72.90253295,Minimal Integration,486164401.1,Public-Private Partnership,8602228.375,31088.30889,6.777921784,3209
59,Wind,816.8409026,172378.0533,76794.88451,8336.606067,56.43854353,Fully Integrated,319204795.4,Government,7193881.827,28433.00898,15.44729157,3736
60,Wind,666.1452274,133162.3387,289131.3488,2316.998028,59.15681084,Isolated Microgrid,149864828.5,Government,9097246.935,5898.942683,78.38074616,4760
61,Hydroelectric,663.1500015,222436.5643,334814.9657,3691.504781,65.2002528,Fully Integrated,27865024.5,Government,5598280.703,29611.95314,44.70389447,737
62,Biomass,438.3331109,470561.226,53052.37919,9273.207049,68.61771967,Fully Integrated,139684923.9,Public-Private Partnership,1932688.213,264.1769476,91.54844912,816
63,Tidal,962.3865286,270282.3818,131116.4567,4528.178684,91.72812932,Partially Integrated,60500670.81,Government,14046100.2,4318.584492,58.63917899,4186
64,Hydroelectric,859.8087217,264048.3315,347957.1592,3911.50245,73.56111259,Isolated Microgrid,259093494.7,Government,13518819.54,18600.03347,14.88341844,2568
65,Geothermal,917.6469956,88501.86512,75735.23927,3717.523188,53.84815921,Fully Integrated,454362000.0,Government,10812259.69,12441.00777,56.54690258,1599
66,Wind,799.8160033,431930.4664,235432.9733,217.0684056,77.48588055,Isolated Microgrid,132337438.4,Public-Private Partnership,8403971.306,49481.81622,48.56926153,1486
67,Geothermal,656.2554567,31093.24751,393590.1393,1817.314424,95.88165005,Fully Integrated,256199621.7,Private,1185014.932,36881.43447,27.98936501,2532
68,Biomass,196.7352175,76023.95093,209369.9178,7632.017761,74.01291399,Partially Integrated,498911353.2,Public-Private Partnership,806908.524,34702.7749,70.25424278,1238
69,Biomass,127.463168,83170.56957,332545.0032,2704.165962,84.97832253,Partially Integrated,264672003.8,Private,10786166.7,7480.396631,35.4786659,4185
70,Wind,709.3905323,68064.47354,157431.9015,7415.992685,54.9265102,Minimal Integration,182527613.8,Public-Private Partnership,5357895.243,45177.38777,13.83395009,4816
71,Wave,321.6032081,396644.725,69710.20177,8906.987637,80.63951934,Fully Integrated,263322241.2,Private,5906716.057,35074.25815,14.57586648,4728
72,Geothermal,932.3998293,162119.7173,272728.0188,1512.164075,55.12834755,Fully Integrated,225973384.9,Government,8310857.525,42627.83221,53.26552293,1154
73,Wind,387.6745165,271103.261,86831.71897,4458.610121,98.22398517,Fully Integrated,53385813.67,Public-Private Partnership,12902694.8,5420.392103,33.06904271,4817
74,Wind,926.0127333,87004.86367,440448.8368,5467.566733,66.25013756,Fully Integrated,325421503.8,Private,3805455.52,34990.04006,37.26963214,848
75,Wind,971.5373093,197637.6286,326732.9314,5203.214405,92.62542376,Fully Integrated,295097159.5,Public-Private Partnership,18310642.29,31437.29876,64.20313611,2372
76,Biomass,304.9154547,44187.31499,339678.812,4338.60525,75.31568741,Isolated Microgrid,377419265.5,Private,11149648.22,25681.48096,67.40973365,3974
77,Wind,933.1226373,149969.1759,156450.1494,1268.975132,64.52765042,Minimal Integration,271043310.5,Government,14118502.43,26325.88814,82.95593683,128
78,Wave,120.4949114,122304.1453,269590.3712,1274.162887,66.6341788,Isolated Microgrid,42724610.86,Private,10342756.65,29405.56156,30.51404962,947
79,Tidal,758.4305201,483892.9314,420905.946,1509.672659,74.22692358,Isolated Microgrid,214331576.0,Government,6007441.131,22403.48856,98.29453513,4029
80,Geothermal,939.2357543,368907.4361,191184.951,789.5791528,71.64484501,Fully Integrated,42881386.4,Government,9638901.863,34910.79263,99.08869621,1933
81,Tidal,960.131942,418816.2656,449121.7791,2991.419395,95.8279927,Minimal Integration,412016427.6,Public-Private Partnership,8358812.095,23358.12019,61.64314678,3774
82,Biomass,211.6887362,23588.3818,322712.0108,4981.420733,94.71361533,Fully Integrated,254913385.8,Public-Private Partnership,6284861.16,2752.991139,78.62553501,2185
83,Wind,488.9306063,313121.9884,375083.976,560.8850878,80.32966882,Partially Integrated,231264906.4,Government,11705461.22,9761.461024,81.63554755,833
84,Tidal,975.3741927,236500.221,152833.6532,252.5663889,82.37288376,Partially Integrated,230577435.2,Public-Private Partnership,19580273.39,22252.65955,23.14516785,1363
85,Biomass,99.99698635,271308.9824,105752.1344,9545.420073,95.59056015,Partially Integrated,265854332.2,Government,18347478.04,33616.60036,6.895529143,469
86,Wave,904.4023156,79466.4528,73641.27762,1988.018863,99.99130397,Partially Integrated,398045284.0,Private,13345005.36,12809.65792,81.38028916,2548
87,Tidal,723.0649609,218393.446,112010.0724,9337.177029,54.82292922,Minimal Integration,70358031.41,Public-Private Partnership,2214133.645,23438.04528,79.67950861,2398
88,Hydroelectric,600.3224253,469818.428,126179.9839,3674.656558,73.88283743,Minimal Integration,246358554.5,Private,19164967.19,40817.75008,30.11143978,1979
89,Tidal,571.9126529,286588.8263,425799.9722,9885.320655,65.87978892,Minimal Integration,17491027.41,Private,4743610.019,14915.69142,45.05357429,3183
90,Geothermal,831.87626,225790.2172,335891.1095,9201.086691,80.36383656,Minimal Integration,433519494.0,Private,14772353.51,13767.9051,87.04843371,4727
91,Hydroelectric,149.2328012,116401.5695,263841.7956,1342.943335,89.54724323,Partially Integrated,1552573.362,Private,16372187.09,48065.22965,91.14755151,4247
92,Solar,724.6318261,437521.5674,313749.5099,1802.349283,53.05101815,Partially Integrated,221585140.1,Government,7775664.031,39349.83239,90.02526229,2767
93,Tidal,527.6438129,68764.19394,198927.0864,908.7597958,90.95815257,Minimal Integration,4264453.08,Government,18327255.9,17599.39758,40.05317524,770
94,Biomass,681.2515125,447994.8589,150254.7575,7967.154949,74.07039723,Fully Integrated,217177549.0,Public-Private Partnership,3984690.479,23870.57937,7.117794437,4378
95,Hydroelectric,25.71821823,240070.0095,244438.8387,607.1647404,90.69321263,Isolated Microgrid,316365757.7,Government,10290950.11,40791.59035,3.291792988,3824
96,Solar,242.7278888,406258.7929,59995.97339,9011.902596,64.45261242,Partially Integrated,70742698.84,Government,15188327.48,33060.47566,17.78562013,2386
97,Wind,277.6013534,48171.46883,393127.7572,2577.218317,78.8619524,Minimal Integration,389529236.9,Public-Private Partnership,350262.3724,39606.77877,20.57495805,4991
98,Solar,637.0295271,79096.32407,179967.1275,9086.675724,74.45931214,Isolated Microgrid,463207037.2,Private,16581803.74,6927.782492,60.03359122,3337
99,Wind,351.7263045,125500.2815,83533.31123,3668.374197,84.76822069,Partially Integrated,325976197.5,Private,18447356.65,6446.177544,93.59143969,2375
100,Tidal,458.6227813,19920.03879,178601.0026,2248.954033,90.60846795,Fully Integrated,145744262.1,Private,7374689.931,24414.4143,39.55174879,859
101,Tidal,678.6538046,255474.9269,25671.71062,1776.352115,86.35438985,Fully Integrated,129047624.2,Government,6592405.167,16889.85167,14.78880654,4668
102,Wave,200.6902031,255696.793,174931.2231,4284.963429,52.07735517,Minimal Integration,390855887.0,Government,4739805.403,36280.68819,3.542210489,4788
103,Wave,373.9079272,273854.1005,242116.5633,6694.961929,86.78657987,Partially Integrated,338757766.8,Public-Private Partnership,17190290.94,49211.39959,23.98279076,1388
104,Hydroelectric,31.54975854,358991.2498,440430.1952,8015.163196,76.32196574,Isolated Microgrid,220380328.6,Public-Private Partnership,1735250.815,44830.82979,96.74487075,1699
105,Biomass,3.935225092,341552.9918,261971.399,2482.874464,83.47770369,Partially Integrated,104990469.1,Public-Private Partnership,16340543.71,11009.1994,36.17243215,295
106,Geothermal,506.8794349,383975.1118,134504.1392,458.4773945,86.13587887,Minimal Integration,445355000.1,Public-Private Partnership,19862463.12,23275.70552,9.494819982,4986
107,Biomass,406.6748956,341960.3739,405519.3525,5446.886731,87.7696965,Isolated Microgrid,292179300.4,Private,16440573.43,46212.45737,10.80169605,2202
108,Hydroelectric,954.4489912,321503.9006,259482.9179,1793.03415,94.31516134,Isolated Microgrid,355287017.2,Private,8498279.56,49368.33598,34.23385919,3751
109,Hydroelectric,650.2852014,377231.5658,402367.5237,8506.829234,75.66201762,Fully Integrated,88834468.58,Public-Private Partnership,12744257.61,18398.64702,24.28592027,3396
110,Geothermal,437.8625706,374902.7988,13247.90455,1901.69618,71.48904205,Isolated Microgrid,277320278.4,Government,1753104.032,15236.38297,49.90724393,4346
111,Tidal,258.6302291,423937.0564,156298.5756,6568.853789,81.56811825,Partially Integrated,42634539.29,Private,18327558.31,5236.217513,8.277841151,3593
112,Tidal,143.3757968,162599.0087,212059.8316,7322.2969,79.6189445,Minimal Integration,222193237.3,Public-Private Partnership,17199367.42,27512.53887,68.66294775,2504
113,Wave,869.6942564,356273.9965,109221.3579,8317.88068,91.08242309,Isolated Microgrid,113806699.3,Public-Private Partnership,11365011.4,19729.48306,31.61505341,2599
114,Tidal,302.8703579,29277.33076,96482.89587,2102.584151,59.62281916,Isolated Microgrid,337273888.3,Government,19203003.97,9780.970195,92.43025584,4555
115,Tidal,24.19843556,328825.3247,340489.6929,6217.270072,65.01304468,Minimal Integration,283802755.1,Public-Private Partnership,8905773.333,41902.33283,48.5347995,3958
116,Tidal,693.9046077,395516.8832,20061.51441,9778.931169,63.9602216,Fully Integrated,340455844.1,Private,18194574.11,48266.68355,49.80916735,3071
117,Solar,523.3252512,8523.580473,257574.5646,4184.542336,96.51847065,Isolated Microgrid,110779587.1,Private,15101537.34,34874.45614,40.53712063,3667
118,Wind,99.8131059,18161.9168,400507.3456,9508.819584,65.23934912,Partially Integrated,382076388.8,Private,9730621.832,28689.28767,65.71286545,2188
119,Wind,115.6132388,303775.5481,345604.0208,3417.88381,58.23890487,Minimal Integration,419974409.3,Public-Private Partnership,1943258.763,9371.869727,60.07775096,2570
120,Solar,3.814259882,291569.6233,187456.9313,260.1174127,68.77636007,Fully Integrated,292235215.6,Private,17431014.2,25375.65791,57.57996879,985
